11	1	12	5	2	7	4	8
11	2	12	2	5	7	7	5
11	3	12	4	3	8	7	4
11	4	5	9	5	7	5	7
11	5	8	8	3	8	4	7
11	6	10	6	3	9	7	3
11	7	12	6	1	11	6	2
11	8	6	5	8	5	9	5
11	9	11	3	5	7	6	6
11	10	5	5	9	6	4	9
11	11	5	5	9	6	4	9
11	12	6	3	10	5	6	8
11	13	6	3	10	5	6	8
11	14	6	3	10	5	6	8
11	15	8	4	7	6	5	8
11	16	6	6	7	3	6	10
11	17	8	6	5	4	5	10
11	18	6	6	7	6	3	10
11	19	6	5	8	4	8	7
11	20	9	7	3	7	7	5
12	1	2	2	1	3	1	2
12	2	3	3	0	4	0	1
12	3	3	2	1	4	1	0
12	4	5	0	1	3	1	1
12	5	4	1	0	4	1	1
12	6	3	2	0	2	4	0
12	7	3	2	1	0	1	4
12	8	3	2	0	2	1	3
12	9	2	2	1	1	2	3
12	10	3	1	2	0	2	3
12	11	4	1	2	0	1	3
12	12	1	1	3	2	1	3
12	13	2	0	4	1	1	3
12	14	1	1	3	1	4	1
12	15	2	1	2	1	3	2
12	16	0	1	4	1	1	4
12	17	0	2	4	1	0	4
12	18	2	1	2	2	2	2
12	19	1	2	2	2	2	2
12	20	2	2	2	1	0	4
12	21	4	2	0	4	1	0
12	22	3	1	1	5	0	1
12	23	4	1	0	2	2	2
12	24	3	1	1	2	1	3
12	25	4	0	2	1	2	2
12	26	3	3	0	1	1	3
12	27	4	1	1	0	2	3
12	28	3	1	1	1	2	3
12	29	1	3	1	2	1	3
12	30	0	4	2	2	2	1
12	31	1	2	2	2	0	4
12	32	1	0	4	2	1	3
12	33	2	1	2	0	3	3
12	34	0	1	4	3	0	3
12	35	2	1	2	0	2	4
12	36	4	1	1	2	0	3
12	37	5	0	1	1	3	1
12	38	0	2	4	1	2	2
12	39	0	3	3	0	1	4
12	40	5	1	0	1	3	1
12	41	4	1	0	3	2	0
12	42	3	2	0	2	3	0
12	43	4	2	0	3	1	0
12	44	3	2	0	2	1	2
12	45	5	0	0	1	2	2
12	46	4	1	0	1	2	2
12	47	3	2	0	2	1	2
12	48	3	1	1	2	0	3
12	49	4	0	1	1	0	4
12	50	2	1	1	2	1	3
12	51	3	2	0	0	1	4
12	52	3	0	2	0	2	3
12	53	1	1	3	2	1	2
12	54	0	2	3	2	1	2
12	55	2	2	1	0	0	5
12	56	2	0	3	0	1	4
12	57	0	1	4	0	1	4
12	58	0	1	4	0	1	4
11	41	15	1	1	15	1	1
11	42	14	3	0	14	3	0
11	43	13	1	3	13	1	3
11	44	10	3	4	10	3	4
11	45	9	5	3	9	5	3
11	46	9	5	3	9	5	3
11	47	8	5	4	8	5	4
11	48	8	4	5	8	4	5
11	49	7	5	5	7	5	5
11	50	6	6	5	6	6	5
11	51	6	6	5	6	6	5
11	52	5	5	7	5	5	7
11	53	5	5	7	17	5	5
11	54	5	4	8	5	4	8
11	55	6	1	10	6	1	10
11	56	3	6	8	13	6	8
11	57	17	2	6	2	6	9
11	58	4	0	13	4	0	13
10	41	15	1	1	15	1	1
10	42	14	3	0	14	3	0
10	43	13	1	3	13	1	3
10	44	10	3	4	10	3	4
10	45	9	5	3	9	5	3
10	46	9	5	3	9	5	3
10	47	8	5	4	8	5	4
10	48	8	4	5	8	4	5
10	49	7	5	5	7	5	5
10	50	6	6	5	6	6	5
10	51	6	6	5	6	6	5
10	52	5	5	7	5	5	7
10	53	5	5	7	17	5	5
10	54	5	4	8	5	4	8
10	55	6	1	10	6	1	10
10	56	3	6	8	13	6	8
10	57	17	2	6	2	6	9
10	58	4	0	13	4	0	13
9	41	15	1	1	15	1	1
9	42	14	3	0	14	3	0
9	43	13	1	3	13	1	3
9	44	10	3	4	10	3	4
9	45	9	5	3	9	5	3
9	46	9	5	3	9	5	3
9	47	8	5	4	8	5	4
9	48	8	4	5	8	4	5
9	49	7	5	5	7	5	5
9	50	6	6	5	6	6	5
9	51	6	6	5	6	6	5
9	52	5	5	7	5	5	7
9	53	5	5	7	17	5	5
9	54	5	4	8	5	4	8
9	55	6	1	10	6	1	10
9	56	3	6	8	13	6	8
9	57	17	2	6	2	6	9
9	58	4	0	13	4	0	13
8	41	12	5	2	7	4	8
8	42	12	2	5	7	7	5
8	43	12	4	3	8	7	4
8	44	5	9	5	7	5	7
8	45	8	8	3	8	4	7
8	46	10	6	3	9	7	3
8	47	12	6	1	11	6	2
8	48	6	5	8	5	9	5
8	49	11	3	5	7	6	6
8	50	5	5	9	6	4	9
8	51	5	5	9	6	4	9
8	52	6	3	10	5	6	8
8	53	6	3	10	5	6	8
8	54	6	3	10	5	6	8
8	55	8	4	7	6	5	8
8	56	6	6	7	3	6	10
8	57	8	6	5	4	5	10
8	58	6	6	7	6	3	10
7	41	15	1	1	15	1	1
7	42	14	3	0	14	3	0
7	43	13	1	3	13	1	3
7	44	10	3	4	10	3	4
7	45	9	5	3	9	5	3
7	46	9	5	3	9	5	3
7	47	8	5	4	8	5	4
7	48	8	4	5	8	4	5
7	49	7	5	5	7	5	5
7	50	6	6	5	6	6	5
7	51	6	6	5	6	6	5
7	52	5	5	7	5	5	7
7	53	5	5	7	17	5	5
7	54	5	4	8	5	4	8
7	55	6	1	10	6	1	10
7	56	3	6	8	13	6	8
7	57	17	2	6	2	6	9
7	58	4	0	13	4	0	13
6	41	15	1	1	15	1	1
6	42	14	3	0	14	3	0
6	43	13	1	3	13	1	3
6	44	10	3	4	10	3	4
6	45	9	5	3	9	5	3
6	46	9	5	3	9	5	3
6	47	8	5	4	8	5	4
6	48	8	4	5	8	4	5
6	49	7	5	5	7	5	5
6	50	6	6	5	6	6	5
6	51	6	6	5	6	6	5
6	52	5	5	7	5	5	7
6	53	5	5	7	17	5	5
6	54	5	4	8	5	4	8
6	55	6	1	10	6	1	10
6	56	3	6	8	13	6	8
6	57	17	2	6	2	6	9
6	58	4	0	13	4	0	13
5	41	12	5	2	7	4	8
5	42	12	2	5	7	7	5
5	43	12	4	3	8	7	4
5	44	5	9	5	7	5	7
5	45	8	8	3	8	4	7
5	46	10	6	3	9	7	3
5	47	12	6	1	11	6	2
5	48	6	5	8	5	9	5
5	49	11	3	5	7	6	6
5	50	5	5	9	6	4	9
5	51	5	5	9	6	4	9
5	52	6	3	10	5	6	8
5	53	6	3	10	5	6	8
5	54	6	3	10	5	6	8
5	55	8	4	7	6	5	8
5	56	6	6	7	3	6	10
5	57	8	6	5	4	5	10
5	58	6	6	7	6	3	10
4	41	15	1	1	15	1	1
4	42	14	3	0	14	3	0
4	43	13	1	3	13	1	3
4	44	10	3	4	10	3	4
4	45	9	5	3	9	5	3
4	46	9	5	3	9	5	3
4	47	8	5	4	8	5	4
4	48	8	4	5	8	4	5
4	49	7	5	5	7	5	5
4	50	6	6	5	6	6	5
4	51	6	6	5	6	6	5
4	52	5	5	7	5	5	7
4	53	5	5	7	17	5	5
4	54	5	4	8	5	4	8
4	55	6	1	10	6	1	10
4	56	3	6	8	13	6	8
4	57	17	2	6	2	6	9
4	58	4	0	13	4	0	13
3	41	15	1	1	15	1	1
3	42	14	3	0	14	3	0
3	43	13	1	3	13	1	3
3	44	10	3	4	10	3	4
3	45	9	5	3	9	5	3
3	46	9	5	3	9	5	3
3	47	8	5	4	8	5	4
3	48	8	4	5	8	4	5
3	49	7	5	5	7	5	5
3	50	6	6	5	6	6	5
3	51	6	6	5	6	6	5
3	52	5	5	7	5	5	7
3	53	5	5	7	17	5	5
3	54	5	4	8	5	4	8
3	55	6	1	10	6	1	10
3	56	3	6	8	13	6	8
3	57	17	2	6	2	6	9
3	58	4	0	13	4	0	13
2	41	15	1	1	15	1	1
2	42	14	3	0	14	3	0
2	43	13	1	3	13	1	3
2	44	10	3	4	10	3	4
2	45	9	5	3	9	5	3
2	46	9	5	3	9	5	3
2	47	8	5	4	8	5	4
2	48	8	4	5	8	4	5
2	49	7	5	5	7	5	5
2	50	6	6	5	6	6	5
2	51	6	6	5	6	6	5
2	52	5	5	7	5	5	7
2	53	5	5	7	17	5	5
2	54	5	4	8	5	4	8
2	55	6	1	10	6	1	10
2	56	3	6	8	13	6	8
2	57	17	2	6	2	6	9
2	58	4	0	13	4	0	13
1	41	12	5	2	7	4	8
1	42	12	2	5	7	7	5
1	43	12	4	3	8	7	4
1	44	5	9	5	7	5	7
